workload,dataset,run_ID,Runtime in secs,GB/sec to numpy,read_count,write_count,read_merged_count,write_merged_count,read_IOPS,write_IOPS,avg read GB/sec,avg write GB/sec,read GB / read_time_secs,write GB / write_time_secs,read GB,write GB,read_time_secs,write_time_secs,busy_time_secs
NumpyLoadEntireArray,NumpyNPY,1,1.936252,0.5164617002332341,7711.0,145.0,0.0,7.0,3982.436170498468,74.88694653381894,0.5164624935184057,0.008956718443673652,0.34554303248099516,0.07286749579831932,1.000001536,0.017342464,2.894,0.238,1.868
NumpyLoadEntireArray,NumpyNPY,2,1.886117,0.5301898026474497,7714.0,111.0,29.0,140.0,4089.8841376224273,58.85106809386692,0.5302601100567992,0.0009229544084486805,0.334045627254509,0.011683221476510068,1.000132608,0.0017408,2.994,0.149,1.888
NumpyLoadEntireArray,NumpyNPY,3,1.790636,0.5584607927015877,7711.0,18.0,0.0,14.0,4306.291172521942,10.052294268628577,0.5584616504973653,0.0011345778818252286,0.35360733239038195,0.07524503703703704,1.000001536,0.002031616,2.828,0.027,1.792
ZarrPythonLoadEntireArray,Uncompressed_1_Chunk,1,2.726641,0.3667516185665807,7631.0,41.0,0.0,25.0,2798.681601281577,15.036816361229807,0.3667536841116964,0.00010815945333470743,0.4482320179291797,0.0006955471698113207,1.000005632,0.000294912,2.231,0.424,1.564
ZarrPythonLoadEntireArray,Uncompressed_1_Chunk,2,1.74156,0.5741978456096832,7631.0,0.0,0.0,0.0,4381.703759847493,0.0,0.5742010794919497,0.0,0.44663047431889236,0.0,1.000005632,0.0,2.239,0.0,1.52
ZarrPythonLoadEntireArray,Uncompressed_1_Chunk,3,1.881958,0.5313614862818405,7631.0,28.0,0.0,25.0,4054.819501816725,14.878121615891533,0.5313644789097312,0.00011752865898176261,0.44053111541850215,0.031597714285714285,1.000005632,0.000221184,2.27,0.007,1.552
ZarrPythonLoadEntireArray,LZ4_200_Chunks,1,2.167597,0.46134036908152204,7260.0,4.0,0.0,0.0,3349.33107953185,1.8453614763260882,0.43512218184468787,0.00020408221638985473,0.4508458585086042,0.442368,0.943169536,0.000442368,2.092,0.001,1.472
ZarrPythonLoadEntireArray,LZ4_200_Chunks,2,1.918516,0.5212362054838219,7260.0,2.0,0.0,19.0,3784.1748518125464,1.0424724109676438,0.4916141100725769,4.483465345089642e-05,0.44870101617507135,0.021504,0.943169536,8.6016e-05,2.102,0.004,1.484
ZarrPythonLoadEntireArray,LZ4_200_Chunks,3,1.881532,0.5314817924967526,7260.0,0.0,0.0,0.0,3858.557813526424,0.0,0.5012774356216104,0.0,0.44934232301095756,0.0,0.943169536,0.0,2.099,0.0,1.484
ZarrPythonLoadEntireArray,Uncompressed_200_Chunks,1,2.347288,0.4260235642153839,7801.0,124.0,0.0,1188.0,3323.40982444421,52.82692196270761,0.4261289181387201,0.0023033901251146007,0.43640806980802793,0.014977063711911359,1.000247296,0.00540672,2.292,0.361,1.612
ZarrPythonLoadEntireArray,Uncompressed_200_Chunks,2,3.892203,0.25692390658966147,7813.0,3049.0,0.0,166.0,2007.3464821850248,783.3609911918777,0.25700322824888633,0.09609102094623534,0.1646327741935484,0.00522697524911604,1.000308736,0.37400576,6.076,71.553,3.604
ZarrPythonLoadEntireArray,Uncompressed_200_Chunks,3,1.961928,0.5097027006087889,7801.0,0.0,0.0,0.0,3976.1907674491626,0.0,0.5098287480478386,0.0,0.45076489229382605,0.0,1.000247296,0.0,2.219,0.0,1.532
ZarrPythonLoadEntireArray,LZ4_20000_Chunks,1,3.076787,0.32501437376067954,20001.0,13.0,0.0,0.0,6500.612489587352,4.225186858888835,0.053295617798697154,1.996888312385615e-05,0.21951708701472558,0.061439999999999995,0.163979264,6.144e-05,0.747,0.001,2.352
ZarrPythonLoadEntireArray,LZ4_20000_Chunks,2,3.04321,0.32860039234886845,20001.0,36.0,0.0,36.0,6572.3364473697175,11.829614124559264,0.05388365048747868,0.0004064760565324114,0.20942434738186463,0.13744355555555557,0.163979264,0.001236992,0.783,0.009,2.352
ZarrPythonLoadEntireArray,LZ4_20000_Chunks,3,3.04416,0.3284978450541364,20001.0,26.0,0.0,31.0,6570.285398927783,8.540943971407547,0.053866834857563335,0.0003215809944286765,0.2115861470967742,0.0889949090909091,0.163979264,0.000978944,0.775,0.011,2.364
ZarrPythonLoadEntireArray,Uncompressed_20000_Chunks,1,5.598868,0.17860753280841768,20001.0,199.0,0.0,1351.0,3572.3292637011623,35.54289902887512,0.19021060971610687,0.001695062644806057,0.4939536623376623,0.03636180842911877,1.064964096,0.009490432,2.156,0.261,4.436
ZarrPythonLoadEntireArray,Uncompressed_20000_Chunks,2,5.031728,0.19873888254691033,20006.0,1050.0,0.0,37.0,3975.970084233488,208.67582667425583,0.2116538445639351,0.02535066124401001,0.5192513778644564,0.013195162097858695,1.064984576,0.127557632,2.051,9.667,4.944
ZarrPythonLoadEntireArray,Uncompressed_20000_Chunks,3,7.804304,0.1281344242869063,20005.0,45.0,0.0,41.0,2563.3291578595604,5.766049092910784,0.13646066068159313,0.00015587706475811297,0.21765388922951157,0.10137600000000001,1.06498048,0.001216512,4.893,0.012,7.228
TensorStoreLoadEntireArray,Uncompressed_1_Chunk,1,2.189008,0.4568279330180612,7631.0,11.0,0.0,6.0,3486.0539568608247,5.025107263198673,0.4568305058729799,0.000437853127992223,0.4438551407012871,0.319488,1.000005632,0.000958464,2.253,0.003,1.532
