workload,dataset,run_ID,Runtime in secs,GB/sec to numpy,read_count,write_count,read_merged_count,write_merged_count,read_IOPS,write_IOPS,avg read GB/sec,avg write GB/sec,read GB / read_time_secs,write GB / write_time_secs,read GB,write GB,read_time_secs,write_time_secs,busy_time_secs
ZarrPythonLoadEntireArray,Uncompressed_200_Chunks,1,0.801389,1.2478334491738718,1829.0,0.0,228.0,0.0,2282.2873785390116,0.0,1.2481420333945186,0.0,2.3702542559241704,0.0,1.000247296,0.0,0.422,0.0,0.592
ZarrPythonLoadEntireArray,Uncompressed_200_Chunks,2,0.770388,1.2980472177655935,1829.0,0.0,228.0,0.0,2374.1283612932707,0.0,1.298368219650358,0.0,2.3535230494117645,0.0,1.000247296,0.0,0.425,0.0,0.556
ZarrPythonLoadEntireArray,Uncompressed_200_Chunks,3,0.773428,1.2929451739528437,1828.0,0.0,227.0,0.0,2363.5037779857985,0.0,1.2932649141225814,0.0,2.3758843135391925,0.0,1.000247296,0.0,0.421,0.0,0.56
ZarrPythonLoadEntireArray,LZ4_20000_Chunks,1,2.000951,0.49976236299639515,20001.0,2.0,0.0,2.0,9995.7470222909,0.9995247259927904,0.08195066445904972,8.188106555332939e-06,0.16630756997971605,0.0,0.163979264,1.6384e-05,0.986,0.0,1.452
ZarrPythonLoadEntireArray,LZ4_20000_Chunks,2,1.911858,0.5230513981686924,20001.0,0.0,0.0,0.0,10461.551014772018,0.0,0.08576958330587314,0.0,0.1664764101522843,0.0,0.163979264,0.0,0.985,0.0,1.392
ZarrPythonLoadEntireArray,LZ4_20000_Chunks,3,1.952065,0.5122780235289297,20001.0,0.0,0.0,0.0,10246.072748602122,0.0,0.08400297326164857,0.0,0.16496907847082495,0.0,0.163979264,0.0,0.994,0.0,1.432
ZarrPythonLoadEntireArray,Uncompressed_20000_Chunks,1,3.242264,0.30842645756175313,20001.0,0.0,0.0,0.0,6168.837577692625,0.0,0.3284631035597348,0.0,0.5622830496304119,0.0,1.064964096,0.0,1.894,0.0,2.8
ZarrPythonLoadEntireArray,Uncompressed_20000_Chunks,2,3.270999,0.3057169996077651,20001.0,0.0,0.0,0.0,6114.645709154909,0.0,0.3255776281191159,0.0,0.5628774291754757,0.0,1.064964096,0.0,1.892,0.0,2.824
ZarrPythonLoadEntireArray,Uncompressed_20000_Chunks,3,3.226068,0.30997486723776435,20001.0,0.0,0.0,0.0,6199.807319622525,0.0,0.33011210427058574,0.0,0.5640699661016949,0.0,1.064964096,0.0,1.888,0.0,2.776
NumpyLoadEntireArray,NumpyNPY,1,0.351502,2.8449340259799376,2123.0,0.0,567.0,0.0,6039.794937155408,0.0,2.844938395798602,0.0,2.03666300610998,0.0,1.000001536,0.0,0.491,0.0,0.352
NumpyLoadEntireArray,NumpyNPY,2,0.317933,3.145316780579556,2124.0,0.0,567.0,0.0,6680.652841950977,0.0,3.145321611786131,0.0,2.1097078818565405,0.0,1.000001536,0.0,0.474,0.0,0.32
NumpyLoadEntireArray,NumpyNPY,3,0.341842,2.9253280755436726,2124.0,0.0,569.0,0.0,6213.39683245476,0.0,2.9253325688475966,0.0,2.0920534225941427,0.0,1.000001536,0.0,0.478,0.0,0.344
